college,State,region
St. Cloud State University,MN,Regions 5 and 6
Saint John's University,MN,Regions 5 and 6
Saint Mary's University of Minnesota,MN,Regions 5 and 6
Saint Olaf College,MN,Region 7C
Crown College,MN,Region 7C
Northland Community and Technical College,MN,Region 7C
University of Minnesota Duluth,MN,Region 7C
University of Minnesota - Morris,MN,Region 7B (Ramsey)
Mitchell Hamline School of Law,MN,Region 7B (Ramsey)
Minnesota State College - Southeast Technical,MN,Region 7B (Ramsey)
Winona State University,MN,Region 7B (Ramsey)
University of Minnesota - Twin Cities,MN,Region 7B (Ramsey)
Mesabi Range College,MN,Region 7B (Ramsey)
University of Minnesota - Crookston,MN,Region 7B (Ramsey)
Dunwoody College of Technology,MN,Regions 3 and 4
Globe University,MN,Regions 3 and 4
Minneapolis Business College,MN,Regions 3 and 4
Minnesota School of Business,MN,Region 7B (Ramsey)
Ridgewater College,MN,Region 7B (Ramsey)
Minnesota West Community and Technical College,MN,Region 7A (Hennepin)
Saint Paul College - A Community & Technical College,MN,Region 7A (Hennepin)
St. Cloud Technical and Community College,MN,Region 7A (Hennepin)
Pine Technical and Community College,MN,Region 7A (Hennepin)
South Central College,MN,Regions 3 and 4
Minnesota State Community and Technical College,MN,Regions 3 and 4
Alexandria Technical and Community College,MN,Regions 5 and 6
Lake Superior College,MN,Regions 5 and 6
Northwest Technical College - Bemidji,MN,Regions 5 and 6
Rainy River Community College,MN,Region 7C
Anoka Technical College,MN,Region 7C
Brown College,MN,Region 7C
Normandale Community College,MN,Region 7C
Rasmussen College,MN,Region 7B (Ramsey)
Bethel University,MN,Region 7B (Ramsey)
Inver Hills Community College,MN,Region 7B (Ramsey)
Duluth Business University,MN,Region 7B (Ramsey)
Oak Hills Christian College,MN,Region 7B (Ramsey)
Art Institutes International Minnesota (The),MN,Region 7B (Ramsey)
Metropolitan State University,MN,Region 7B (Ramsey)
Dakota County Technical College,MN,Regions 3 and 4
Regency Beauty Institute,MN,Regions 3 and 4
Hennepin Technical College,MN,Regions 3 and 4
Century College,MN,Region 7B (Ramsey)
Northwestern Health Sciences University,MN,Region 7B (Ramsey)
Academy College,MN,Region 7A (Hennepin)
Aveda Institute,MN,Region 7A (Hennepin)
Minnesota School of Cosmetology,MN,Region 7A (Hennepin)
Summit Academy Opportunities Industrialization Center,MN,Region 7A (Hennepin)
Walden University,MN,Regions 3 and 4
McNally Smith College of Music,MN,Regions 3 and 4
Leech Lake Tribal College,MN,Regions 5 and 6
Fond du Lac Tribal & Community College,MN,Regions 5 and 6
Capella University,MN,Regions 5 and 6
White Earth Tribal and Community College,MN,Region 7C
Institute of Production and Recording (The),MN,Region 7C
Bethany Global University,MN,Region 7C
Avila University,MO,Eastern (excluding St. Louis)
Calvary Bible College,MO,Eastern (excluding St. Louis)
Central Bible College,MO,Eastern (excluding St. Louis)
Central Methodist University,MO,Southwest
University of Central Missouri,MO,Southwest
Columbia College,MO,Southwest
Concordia Seminary,MO,Southwest
Cottey College,MO,Northwest (Jackson)
Crowder College,MO,Northwest (Jackson)
Culver-Stockton College,MO,Northwest (Jackson)
Drury University,MO,Northwest (Jackson)
Eden Theological Seminary,MO,Northwest (excluding Jackson)
Evangel University,MO,Northwest (excluding Jackson)
Fontbonne University,MO,Northwest (excluding Jackson)
Harris - Stowe State University,MO,Northwest (excluding Jackson)
Conception Seminary College,MO,Central
Jefferson College,MO,Central
Saint Louis Community College,MO,Central
Kansas City Art Institute,MO,Eastern (St. Louis City and County)
Kansas City University of Medicine and Biosciences,MO,Eastern (St. Louis City and County)
A. T. Still University of Health Sciences,MO,Eastern (St. Louis City and County)
Lincoln University,MO,Eastern (excluding St. Louis)
Lindenwood University,MO,Eastern (excluding St. Louis)
Maryville University of Saint Louis,MO,Eastern (excluding St. Louis)
Metropolitan Community College,MO,Southwest
Midwestern Baptist Theological Seminary,MO,Southwest
Mineral Area College,MO,Southwest
Missouri Southern State University,MO,Southwest
Missouri Valley College,MO,Northwest (Jackson)
Missouri Western State University,MO,Northwest (Jackson)
Moberly Area Community College,MO,Northwest (Jackson)
Truman State University,MO,Northwest (Jackson)
Northwest Missouri State University,MO,Northwest (excluding Jackson)
Park University,MO,Northwest (excluding Jackson)
Rockhurst University,MO,Northwest (excluding Jackson)
College of the Ozarks,MO,Northwest (excluding Jackson)
Southeast Missouri State University,MO,Central
Southwest Baptist University,MO,Central
Missouri State University,MO,Central
Saint Louis College of Pharmacy,MO,Eastern (St. Louis City and County)
Saint Louis University,MO,Eastern (St. Louis City and County)
Stephens College,MO,Eastern (St. Louis City and County)
North Central Missouri College,MO,Eastern (excluding St. Louis)
University of Missouri - Columbia,MO,Eastern (excluding St. Louis)
Missouri University of Science and Technology,MO,Eastern (excluding St. Louis)
University of Missouri - Kansas City,MO,Southwest
University of Missouri - Saint Louis,MO,Southwest
Washington University in St. Louis,MO,Southwest
Webster University,MO,Southwest
Wentworth Military Academy and College,MO,Northwest (Jackson)
Westminster College,MO,Northwest (Jackson)
William Jewell College,MO,Northwest (Jackson)
William Woods University,MO,Northwest (Jackson)
Logan University,MO,Northwest (excluding Jackson)
State Technical College of Missouri,MO,Northwest (excluding Jackson)
Three Rivers Community College,MO,Northwest (excluding Jackson)
Rolla Technical Institute Center,MO,Northwest (excluding Jackson)
Goldfarb School of Nursing at Barnes-Jewish College,MO,Central
Research Medical Center,MO,Central
Missouri Baptist University,MO,Central
State Fair Community College,MO,Eastern (St. Louis City and County)
Hillyard Technical Center,MO,Eastern (St. Louis City and County)
East Central College,MO,Eastern (St. Louis City and County)
Hannibal - LaGrange University,MO,Eastern (excluding St. Louis)
National Academy of Beauty Arts,MO,Eastern (excluding St. Louis)
Independence College of Cosmetology,MO,Eastern (excluding St. Louis)
Saint Luke's College of Health Sciences,MO,Southwest
Missouri College,MO,Southwest
Hickey College,MO,Southwest
Pinnacle Career Institute,MO,Southwest
Ranken Technical College,MO,Northwest (Jackson)
Saint Louis Christian College,MO,Northwest (Jackson)
Baptist Bible College,MO,Northwest (Jackson)
Lester E. Cox Medical Center,MO,Northwest (Jackson)
Court Reporting Institute of St Louis,MO,Northwest (excluding Jackson)
Missouri School of Barbering & Hairstyling-St. Louis,MO,Northwest (excluding Jackson)
Forest Institute of Professional Psychology,MO,Northwest (excluding Jackson)
Metro Business College,MO,Northwest (excluding Jackson)
Northland Career Center,MO,Central
Ozark Christian College,MO,Central
Sanford-Brown College,MO,Central
Everest College,MO,Eastern (St. Louis City and County)
Central Christian College of The Bible,MO,Eastern (St. Louis City and County)
National Academy of Beauty Arts,MO,Eastern (St. Louis City and County)
Saint Louis College of Health Careers,MO,Eastern (excluding St. Louis)
Concorde Career College,MO,Eastern (excluding St. Louis)
Saint Charles Community College,MO,Eastern (excluding St. Louis)
Vatterott College,MO,Southwest
Ozarks Technical Community College,MO,Southwest
Missouri State University - West Plains,MO,Southwest
Texas County Technical Institute,MO,Southwest
Aviation Institute of Maintenance,MO,Northwest (Jackson)
American Trade School,MO,Northwest (Jackson)
Northern Marianas College,MP,Region 1
Alcorn State University,MS,Region 1
Belhaven University,MS,Region 1
Blue Mountain College,MS,Region 1
Coahoma Community College,MS,Region 1
Copiah-Lincoln Community College,MS,Region 1
Delta State University,MS,Region 2
East Central Community College,MS,Region 2
East Mississippi Community College,MS,Region 2
Hinds Community College,MS,Region 2
Holmes Community College,MS,Region 2
Itawamba Community College,MS,Region 4
Jackson State University,MS,Region 4
Jones County Junior College,MS,Region 4
Meridian Community College,MS,Region 4
Millsaps College,MS,Region 6
Mississippi College,MS,Region 6
Mississippi Delta Community College,MS,Region 6
Mississippi Gulf Coast Community College,MS,Region 3
Mississippi University for Women,MS,Region 3
Mississippi State University,MS,Region 3
Mississippi Valley State University,MS,Region 5
Northeast Mississippi Community College,MS,Region 5
Northwest Mississippi Community College,MS,Region 7
Pearl River Community College,MS,Region 7
Rust College,MS,Region 1
Southwest Mississippi Community College,MS,Region 1
Tougaloo College,MS,Region 1
University of Mississippi,MS,Region 1
University of Southern Mississippi,MS,Region 6
William Carey University,MS,Region 6
Chris Beauty College,MS,Region 6
Infinity Career College,MS,Region 3
Infinity Career College,MS,Region 3
Day Spa Career College,MS,Region 3
Carroll College,MT,Region 3 
University of Great Falls,MT,Region 3 
Miles Community College,MT,Region 3 
Dawson Community College,MT,Region 3 
Montana State University - Billings,MT,Region 5
Montana Tech of the University of Montana,MT,Region 5
Montana State University Bozeman,MT,Region 5
Montana State University - Northern,MT,Region 5
Rocky Mountain College,MT,Region 2
University of Montana (The),MT,Region 2
University of Montana Western (The),MT,Region 2
Flathead Valley Community College,MT,Region 2
Helena College University of Montana,MT,Region 2 
Great Falls College Montana State University,MT,Region 2 
Salish Kootenai College,MT,Region 2 
Little Big Horn College,MT,Region 2 
Fort Peck Community College,MT,Region 2 
Blackfeet Community College,MT,Region 2 
Aaniiih Nakoda College,MT,Region 2 
Chief Dull Knife College,MT,Region 2 
Stone Child College,MT,Region 2 
North Carolina Agricultural & Technical State University,NC,
Appalachian State University,NC,
University of North Carolina Asheville,NC,
Barton College,NC,
Belmont Abbey College,NC,
Bennett College,NC,
Brevard College,NC,
Campbell University,NC,
Catawba College,NC,
Central Piedmont Community College,NC,
Chowan University,NC,
College of the Albemarle,NC,
Davidson College,NC,
Davidson County Community College,NC,
Duke University,NC,
East Carolina University,NC,
Elizabeth City State University,NC,
Elon University,NC,
Fayetteville State University,NC,
Gardner - Webb University,NC,
Greensboro College,NC,
Guilford College,NC,
High Point University,NC,
Isothermal Community College,NC,
Laurel University,NC,
Johnson C Smith University,NC,
King's College,NC,
Lees-McRae College,NC,
Lenoir Community College,NC,
Lenoir-Rhyne University,NC,
Livingstone College,NC,
Louisburg College,NC,
Mars Hill University,NC,
Meredith College,NC,
Methodist University,NC,
Mitchell Community College,NC,
Montreat College,NC,
University of Mount Olive,NC,
North Carolina Central University,NC,
North Carolina Wesleyan College,NC,
William Peace University,NC,
University of North Carolina at Pembroke,NC,
Pfeiffer University,NC,
Piedmont International University,NC,
Queens University of Charlotte,NC,
Rockingham Community College,NC,
Salem College,NC,
Sandhills Community College,NC,
Shaw University,NC,
Southeastern Community College,NC,
Saint Augustine's University,NC,
Surry Community College,NC,
North Carolina State University,NC,
Gaston College,NC,
University of North Carolina - Chapel Hill,NC,
University of North Carolina - Charlotte,NC,
University of North Carolina - Greensboro,NC,
Wake Forest University,NC,
Warren Wilson College,NC,
Wayne Community College,NC,
Western Carolina University,NC,
Western Piedmont Community College,NC,
Wilkes Community College,NC,
University of North Carolina at Wilmington (The),NC,
Wingate University,NC,
Winston-Salem State University,NC,
University of North Carolina School of the Arts,NC,
Asheville Buncombe Technical Community College,NC,
Pitt Community College,NC,
Caldwell Community College & Technical Institute,NC,
Guilford Technical Community College,NC,
Wake Technical Community College,NC,
Wilson Community College,NC,
Coastal Carolina Community College,NC,
Forsyth Technical Community College,NC,
Catawba Valley Community College,NC,
Cape Fear Community College,NC,
Randolph Community College,NC,
Durham Technical Community College,NC,
Central Carolina Community College,NC,
Alamance Community College,NC,
Richmond Community College,NC,
Rowan-Cabarrus Community College,NC,
Cabarrus College of Health Sciences,NC,
Craven Community College,NC,
Pamlico Community College,NC,
Fayetteville Technical Community College,NC,
James Sprunt Community College,NC,
Brookstone College of Business,NC,
Sampson Community College,NC,
South Piedmont Community College,NC,
Halifax Community College,NC,
Bladen Community College,NC,
Martin Community College,NC,
Carteret Community College,NC,
Cleveland Community College,NC,
Haywood Community College,NC,
McDowell Technical Community College,NC,
Montgomery Community College,NC,
Southwestern Community College,NC,
Nash Community College,NC,
Beaufort County Community College,NC,
Robeson Community College,NC,
Roanoke Chowan Community College,NC,
Edgecombe Community College,NC,
Johnston Community College,NC,
Tri-County Community College,NC,
Piedmont Community College,NC,
Blue Ridge Community College,NC,
Vance - Granville Community College,NC,
South College-Asheville,NC,
Stanly Community College,NC,
Mayland Community College,NC,
Brunswick Community College,NC,
Mid-Atlantic Christian University,NC,
Regency Beauty Institute,NC,
Heritage Bible College,NC,
Carolinas College of Health Sciences,NC,
School of Communication Arts of North Carolina,NC,
Apex School Of Theology,NC,
Southeastern Institute,NC,
Carolina Christian College,NC,
Hood Theological Seminary,NC,
Durham Beauty Academy,NC,
Charlotte Christian College and Theological Seminary,NC,
Center for Massage & Natural Health,NC,
Aveda Institute Chapel Hill,NC,
Charlotte School of Law,NC,
Park West Barber School,NC,
Grace College of Divinity,NC,
Beyond Measure Barbering Institute,NC,
Bismarck State College,ND,
Dickinson State University,ND,
University of Jamestown,ND,
Lake Region State College,ND,
University of Mary,ND,
Mayville State University,ND,
Minot State University,ND,
Dakota College at Bottineau,ND,
North Dakota State College of Science,ND,
North Dakota State University - Fargo,ND,
University of North Dakota,ND,
Williston State College,ND,
Valley City State University,ND,
Sanford College of Nursing,ND,
Trinity Bible College,ND,
Sitting Bull College,ND,
Cankdeska Cikana (Little Hoop) Community College,ND,
United Tribes Technical College,ND,
Turtle Mountain Community College,ND,
Fort Berthold Community College,ND,
Chadron State College,NE,
College of Saint Mary,NE,
Concordia University,NE,
Creighton University,NE,
Doane College,NE,
Grace University,NE,
Hastings College,NE,
University of Nebraska - Kearney,NE,
Midland University,NE,
University of Nebraska - Omaha,NE,
Nebraska Wesleyan University,NE,
Mid-Plains Community College,NE,
Peru State College,NE,
Western Nebraska Community College,NE,
Union College,NE,
University of Nebraska,NE,
Wayne State College,NE,
York College,NE,
Bryan College of Health Sciences,NE,
Nebraska Methodist College of Nursing & Allied Health,NE,
University of Nebraska Medical Center,NE,
Vatterott College,NE,
La'James International College,NE,
Bellevue University,NE,
Clarkson College,NE,
Joseph's College Cosmetology,NE,
Northeast Community College,NE,
Metropolitan Community College,NE,
Nebraska Christian College,NE,
College of Hair Design,NE,
Central Community College,NE,
Southeast Community College,NE,
Nebraska Indian Community College,NE,
Little Priest Tribal College,NE,
Colby-Sawyer College,NH,Northern 
Dartmouth College,NH,Northern 
Franklin Pierce University,NH,Northern 
New England College,NH,Northern 
Southern New Hampshire University,NH,Northern 
NHTI - Concord's Community College,NH,Northern 
Manchester Community College,NH,Southern
Great Bay Community College,NH,Southern
Rivier University,NH,Central
Saint Anselm College,NH,Southern
University of New Hampshire,NH,Southern
Keene State College,NH,Southern
Plymouth State University of the University System of New Hampshire,NH,Southern
Mount Washington College,NH,Southern
Daniel Webster College,NH,Southern
White Mountains Community College,NH,Southern
Lebanon College,NH,Southern
Lakes Region Community College,NH,Southern
River Valley Community College,NH,Southern
Nashua Community College,NH,Southern
Michael's School of Hair Design & Esthetics,NH,Southern
New England School of Hair Design,NH,Central
Thomas More College of Liberal Arts,NH,Central
Granite State College,NH,Central
New Hampshire Institute of Art,NH,Central
Atlantic Cape Community College,NJ,Metropolitan
Bloomfield College,NJ,Metropolitan
Caldwell College,NJ,Metropolitan
Centenary College,NJ,Metropolitan
College of Saint Elizabeth,NJ,Northern
Cumberland County College,NJ,Northern
Drew University,NJ,Northern
Fairleigh Dickinson University,NJ,Southern
Georgian Court University,NJ,Central
Rowan University,NJ,Northern
Felician College,NJ,Northern
New Jersey City University,NJ,Metropolitan
Middlesex County College,NJ,Metropolitan
Monmouth University,NJ,Metropolitan
Montclair State University,NJ,Metropolitan
New Jersey Institute of Technology,NJ,Northern
Kean University,NJ,Northern
Ocean County College,NJ,Northern
William Paterson University of New Jersey,NJ,Southern
Princeton Theological Seminary,NJ,Central
Princeton University,NJ,Northern
Rider University,NJ,Northern
"Rutgers, the State University of New Jersey",NJ,Metropolitan
Seton Hall University,NJ,Metropolitan
Saint Peter's University,NJ,Metropolitan
Stevens Institute of Technology,NJ,Metropolitan
College of New Jersey (The),NJ,Northern
Union County College,NJ,Northern
Bergen Community College,NJ,Northern
Mercer County Community College,NJ,Southern
Teterboro School of Aeronautics,NJ,Central
Salem Community College,NJ,Northern
JFK Medical Center Muhlenberg Harold B. and Dorothy A. Snyder Schools,NJ,Northern
Camden County College,NJ,Metropolitan
Rowan College at Gloucester County,NJ,Metropolitan
Essex County College,NJ,Metropolitan
Berkeley College,NJ,Metropolitan
Parisian Beauty Academy,NJ,Northern
County College of Morris,NJ,Northern
Burlington County College - Pemberton Campus,NJ,Northern
Raritan Valley Community College,NJ,Southern
Beth Medrash Govoha of America,NJ,Central
Brookdale Community College,NJ,Northern
Ho Ho Kus Schl of Trade & Tech Sciences,NJ,Northern
Rabbinical College of America,NJ,Metropolitan
Capri Institute of Hair Design,NJ,Metropolitan
Ramapo College of New Jersey,NJ,Metropolitan
Stockton University,NJ,Metropolitan
Passaic County Community College,NJ,Northern
PB Cosmetology Education Centre,NJ,Northern
Branford Hall Career Institute,NJ,Northern
Talmudical Academy,NJ,Southern
Robert Fiance Beauty Schools,NJ,Central
Lincoln Technical Institute,NJ,Northern
Eastwick College - Hackensack Campus.,NJ,Northern
Hudson County Community College,NJ,Metropolitan
Roman Academy of Beauty Culture,NJ,Metropolitan
Eastwick College - Nutley Campus,NJ,Metropolitan
Capri Institute of Hair Design,NJ,Metropolitan
Harris School of Business,NJ,Northern
Pennco Tech,NJ,Northern
Fortis Institute,NJ,Northern
Joe Kubert School of Cartoon & Graphic Art (The),NJ,Southern
Capri Institute of Hair Design,NJ,Central
Omega Institute,NJ,Northern
Robert Fiance Beauty Schools,NJ,Northern
Capri Institute of Hair Design,NJ,Metropolitan
Warren County Community College,NJ,Metropolitan
Artistic Academy of Hair Design,NJ,Metropolitan
Robert Fiance Beauty Schools,NJ,Metropolitan
Sussex County Community College,NJ,Northern
Harris School of Business,NJ,Northern
Rabbi Jacob Joseph School,NJ,Northern
Eastern International College,NJ,Southern
Central Career School,NJ,Central
Pillar College,NJ,Northern
Bais Medrash Toras Chesed,NJ,Northern
Yeshivas Be'er Yitzchok,NJ,Metropolitan
Yeshiva Toras Chaim,NJ,Metropolitan
American Institute of Medical Sciences & Education,NJ,Metropolitan
Starting Points,NJ,Metropolitan
National Career Institute,NJ,Northern
Mesivta Keser Torah,NJ,Northern
Christine Valmy International School of Esthetics & Cosmetology,NJ,Northern
Yeshiva Gedolah Zichron Leyma,NJ,Southern
Yeshiva Yesodei Hatorah,NJ,Central
Salon Professional Academy The,NJ,Northern
Saint John's College,NM,Region 1
Santa Fe University of Art and Design,NM,Region 2
University of the Southwest,NM,Region 2
Eastern New Mexico University,NM,Region 3 (Bernalillo)
New Mexico Highlands University,NM,Region 5
New Mexico Institute of Mining & Technology,NM,Region 4
New Mexico Junior College,NM,Region 1
New Mexico Military Institute,NM,Region 1
New Mexico State University,NM,Region 2
San Juan College,NM,Region 2
University of New Mexico,NM,Region 3 (Bernalillo)
Western New Mexico University,NM,Region 5
Central New Mexico Community College,NM,Region 4
Clovis Community College,NM,Region 1
Luna Community College,NM,Region 1
Olympian Academy of Cosmetology,NM,Region 2
Northern New Mexico College,NM,Region 2
Institute of American Indian & Alaska Native Culture & ArtsDevelopment,NM,Region 3 (Bernalillo)
Santa Fe Community College,NM,Region 5
Navajo Technical University,NM,Region 4
Southwestern Indian Polytechnic Institute,NM,Region 1
Mesalands Community College,NM,Region 1
"University of Nevada , Reno",NV,Rural/Frontier
University of Nevada - Las Vegas,NV,Capital District
Great Basin College,NV,Capital District
Marinello Schools of Beauty,NV,Clark - Region 1
Marinello School of Beauty,NV,Clark - Region 1
Sierra Nevada College,NV,Clark - Region 1
College of Southern Nevada,NV,Capital District
Western Nevada College,NV,Rural/Frontier
Truckee Meadows Community College,NV,Capital District
Everest College,NV,Capital District
Career College of Northern Nevada,NV,Clark - Region 1
Kaplan College,NV,Clark - Region 1
Expertise Cosmetology Institute,NV,Clark - Region 1
Institute of Professional Careers,NV,Capital District
Roseman University of Health Sciences,NV,Rural/Frontier
Nevada State College,NV,Capital District
Vaughn College of Aeronautics and Technology,NY,Region A
Adelphi University,NY,Region A
Dowling College,NY,Region A
Alfred University,NY,Region A
Bank Street College of Education,NY,Region A
Bard College,NY,Region A
Brooklyn Law School,NY,Region A
Bryant & Stratton College,NY,Region A
Canisius College,NY,Region A
Cazenovia College,NY,Region A
Clarkson University,NY,Region C
Colgate University,NY,Region C
College of Mount Saint Vincent,NY,Region B
College of New Rochelle (The),NY,Region A
College of Saint Rose,NY,Region A
Columbia University in the City of New York,NY,Region A
Barnard College,NY,Region A
Concordia College,NY,Region A
Cooper Union for the Advancement of Science & Art (The),NY,Region A
Cornell University,NY,Region A
D'Youville College,NY,Region A
Dominican College of Blauvelt,NY,Region A
Elmira College,NY,Region A
Fordham University,NY,Region C
General Theological Seminary of the Episcopal Church (The),NY,Region C
Hamilton College,NY,Region B
Hartwick College,NY,Region A
Hobart and William Smith Colleges,NY,Region A
Hofstra University,NY,Region A
Houghton College,NY,Region A
Hilbert College,NY,Region A
Iona College,NY,Region A
Ithaca College,NY,Region A
Juilliard School (The),NY,Region A
Keuka College,NY,Region A
Le Moyne College,NY,Region A
New York College of Podiatric Medicine,NY,Region C
Long Island University,NY,Region C
Manhattan College,NY,Region B
Manhattan School of Music,NY,Region A
Manhattanville College,NY,Region A
Maria College,NY,Region A
Marist College,NY,Region A
Marymount Manhattan College,NY,Region A
Mercy College,NY,Region A
Molloy College,NY,Region A
Medaille College,NY,Region A
Mount Saint Mary College,NY,Region A
Nazareth College of Rochester,NY,Region A
New York Institute of Technology,NY,Region C
New York Law School,NY,Region C
New York Medical College,NY,Region B
New York University,NY,Region A
Niagara University,NY,Region A
Notre Dame College of St Johns University,NY,Region A
Nyack College,NY,Region A
Pace University,NY,Region A
Paul Smith's College of Arts & Sciences,NY,Region A
Pratt Institute,NY,Region A
Rensselaer Polytechnic Institute,NY,Region A
Roberts Wesleyan College,NY,Region A
Rochester Institute of Technology,NY,Region A
Daemen College,NY,Region C
Sage Colleges,NY,Region C
Trocaire College,NY,Region B
Sarah Lawrence College,NY,Region A
Skidmore College,NY,Region A
Siena College,NY,Region A
St. Bonaventure University,NY,Region A
Saint Francis College,NY,Region A
Saint John Fisher College,NY,Region A
Saint John's University,NY,Region A
Saint Joseph's College,NY,Region A
St. Lawrence University,NY,Region A
Saint Thomas Aquinas College,NY,Region A
Excelsior College,NY,Region C
State University of New York at Albany,NY,Region C
Binghamton University,NY,Region B
State University of New York at Buffalo,NY,Region A
State University of New York at Stony Brook,NY,Region A
State University of New York Downstate Medical Center,NY,Region A
State University of New York Upstate Medical University,NY,Region A
SUNY College at Brockport,NY,Region A
SUNY College at Buffalo,NY,Region A
SUNY College at Cortland,NY,Region A
SUNY at Fredonia,NY,Region A
SUNY College at Geneseo,NY,Region A
State University of New York at New Paltz,NY,Region A
SUNY College at Oneonta,NY,Region C
SUNY College at Oswego,NY,Region C
State University of New York College at Plattsburgh,NY,Region B
State University of New York College at Potsdam,NY,Region A
SUNY College of Environment Science & Forestry,NY,Region A
SUNY Maritime College,NY,Region A
SUNY College of Technology at Alfred,NY,Region A
SUNY College of Technology at Canton,NY,Region A
SUNY College of Agriculture & Technology at Cobleskill,NY,Region A
SUNY College of Technology at Delhi,NY,Region A
State University of New York at Farmingdale,NY,Region A
SUNY College of Agriculture & Technology at Morrisville,NY,Region A
Adirondack Community College - SUNY Office of Community Colleges,NY,Region A
Cayuga Community College - SUNY Office of Community College,NY,Region C
SUNY Broome Community College,NY,Region C
Corning Community College - SUNY Office of Community Colleges,NY,Region B
Dutchess Community College,NY,Region A
Fashion Institute of Technology,NY,Region A
SUNY Fulton-Montgomery Community College,NY,Region A
Hudson Valley Community College,NY,Region A
Jamestown Community College,NY,Region A
Jefferson Community College,NY,Region A
Mohawk Valley Community College - SUNY Office of Community Colleges,NY,Region A
Monroe Community College,NY,Region A
Nassau Community College,NY,Region A
Niagara County Community College,NY,Region A
Onondaga Community College,NY,Region C
Orange County Community College,NY,Region C
Rockland Community College,NY,Region B
Suffolk County Community College,NY,Region A
Sullivan County Community College - SUNY Office of Community Colleges,NY,Region A
Ulster County Community College,NY,Region A
SUNY Westchester Community College,NY,Region A
Syracuse University,NY,Region A
Utica College,NY,Region A
Albany College of Pharmacy and Health Sciences,NY,Region A
Albany Law School of Union University,NY,Region A
Albany Medical College,NY,Region A
Union College,NY,Region A
Union Theological Seminary,NY,Region C
University of Rochester,NY,Region B
Vassar College,NY,Region B
Villa Maria College of Buffalo,NY,Region B
Wagner College,NY,Region A
Wells College,NY,Region A
Yeshiva University,NY,Region A
Mesivtha Tifereth Jerusalem of America,NY,Region A
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,Region A
Rabbinical College Ch'san Sofer of New York,NY,Region A
Rabbinical Seminary of America,NY,Region A
"Teachers College, Columbia University",NY,Region A
Central Yeshiva Tomchei Tmimim Lubavitz,NY,Region A
Herkimer County Community College - SUNY Office of Community Colleges,NY,Region C
Mirrer Yeshiva Central Institute,NY,Region C
Monroe College,NY,Region B
Everest Institute,NY,Region B
College of Westchester (The),NY,Region A
Arnot Ogden Medical Center,NY,Region A
Phillips Beth Israel School of Nursing,NY,Region A
Genesee Community College,NY,Region A
Schenectady County Community College,NY,Region A
Clinton Community College - SUNY Office of Community Colleges,NY,Region A
Tompkins Cortland Community College,NY,Region A
Columbia - Greene Community College - SUNY Office of Cmnty Colleges,NY,Region A
SUNY College at Purchase,NY,Region A
Icahn School of Medicine at Mount Sinai,NY,Region C
SUNY College at Old Westbury,NY,Region C
North Country Community College,NY,Region B
Mesivta Torah Vodaath Rabbinical Seminary,NY,Region A
Culinary Institute of America,NY,Region A
Austin's School of Spa Technology,NY,Region A
Island Drafting & Technical Institute,NY,Region A
Long Island Beauty School,NY,Region A
Long Island Beauty School,NY,Region A
Beauty School of Middletown,NY,Region A
Berkeley College,NY,Region A
Wood Tobe - Coburn School,NY,Region A
American Academy of Dramatic Arts,NY,Region C
LIM College,NY,Region C
School of Visual Arts,NY,Region B
Apex Technical School,NY,Region A
Finger Lakes Community College - SUNY Office of Community Colleges,NY,Region A
American Musical & Dramatic Academy,NY,Region A
Star Career Academy,NY,Region A
Rabbinical College Bobover Yeshiva Bnei Zion,NY,Region A
Rabbinical Seminary Mkor Chaim,NY,Region A
Utica School of Commerce,NY,Region A
Midway Paris Beauty School,NY,Region A
Brittany Beauty School -,NY,Region A
Mesivta of Eastern Parkway Rabbinical Seminary,NY,Region C
St. Paul's School of Nursing,NY,Region C
Metropolitan College of New York,NY,Region B
SUNY College of Optometry,NY,Region A
Touro College,NY,Region A
Helene Fuld College of Nursing,NY,Region A
SUNY Empire State College,NY,Region A
Rabbinical College of Long Island,NY,Region A
Kehilath Yakov Rabbinical Seminary,NY,Region A
New York School for Medical & Dental Assistants,NY,Region A
Erie Community College,NY,Region A
Rabbinical College Beth Shraga,NY,Region A
Technical Career Institutes,NY,Region C
United Talmudical Seminary,NY,Region C
Beth Hamedrash Shaarei Yosher Institute,NY,Region B
New York Methodist Hospital,NY,Region A
SBI Campus - an affiliate of Sanford-Brown,NY,Region A
Yeshiva of Nitra Rabbinical College,NY,Region A
State University of New York Polytechnic Institute,NY,Region A
Yeshivath Zichron Moshe,NY,Region A
Berk Trade & Business School,NY,Region A
Word of Life Bible Institute,NY,Region A
Westchester School of Beauty Culture,NY,Region A
Beth HaTalmud Rabbinical College,NY,Region A
Ohr HaMeir Theological Seminary,NY,Region C
Talmudical Seminary Oholei Torah,NY,Region C
New York Chiropractic College,NY,Region B
VEEB Nassau County School of Practical Nursing,NY,Region A
Plaza College,NY,Region A
St. Paul's School of Nursing,NY,Region A
Five Towns College,NY,Region A
Machzikei Hadath Rabbinical College,NY,Region A
Yeshivath Viznitz,NY,Region A
Boricua College,NY,Region A
Capri Cosmetology Learning Center,NY,Region A
"New School, The",NY,Region A
New York School of Interior Design,NY,Region C
Briarcliffe College,NY,Region C
Long Island Business Institute,NY,Region B
Otsego Delaware Schoharie Greene BOCES,NY,Region A
